date_time,open,close,min,max,volume
2024-11-10 22:01:00,0.596785,0.596785,0.596785,0.596785,0
2024-11-10 22:01:30,0.596785,0.596785,0.596785,0.596785,0
2024-11-10 22:02:00,0.596785,0.596785,0.596785,0.596785,0
2024-11-10 22:02:30,0.596785,0.597115,0.596785,0.597115,20
2024-11-10 22:03:00,0.597115,0.597055,0.597025,0.597115,34
2024-11-10 22:03:30,0.597065,0.597015,0.597015,0.597065,31
2024-11-10 22:04:00,0.597025,0.597035,0.597015,0.597065,36
2024-11-10 22:04:30,0.597035,0.597055,0.597025,0.597065,32
2024-11-10 22:05:00,0.597055,0.595705,0.595595,0.597065,32
2024-11-10 22:05:30,0.595695,0.595605,0.595505,0.595695,37
2024-11-10 22:06:00,0.595605,0.595995,0.595585,0.596055,57
2024-11-10 22:06:30,0.595995,0.596115,0.595965,0.596115,55
2024-11-10 22:07:00,0.596095,0.596265,0.596065,0.596295,57
2024-11-10 22:07:30,0.596255,0.596255,0.596235,0.596295,31
2024-11-10 22:08:00,0.596265,0.596375,0.596265,0.596385,31
2024-11-10 22:08:30,0.596375,0.596385,0.596345,0.596395,45
2024-11-10 22:09:00,0.596395,0.596375,0.596345,0.596415,31
2024-11-10 22:09:30,0.596375,0.596385,0.596345,0.596405,32
2024-11-10 22:10:00,0.596415,0.596385,0.596355,0.596415,35
2024-11-10 22:10:30,0.596395,0.596355,0.596345,0.596415,31
2024-11-10 22:11:00,0.596355,0.596405,0.596355,0.596425,40
2024-11-10 22:11:30,0.596375,0.596345,0.596335,0.596405,42
2024-11-10 22:12:00,0.596355,0.596365,0.596345,0.596405,42
2024-11-10 22:12:30,0.596365,0.596495,0.596365,0.596535,42
2024-11-10 22:13:00,0.596485,0.596435,0.596425,0.596515,39
2024-11-10 22:13:30,0.596465,0.596425,0.596415,0.596475,38
2024-11-10 22:14:00,0.596405,0.596445,0.596405,0.596475,37
2024-11-10 22:14:30,0.596455,0.596505,0.596455,0.596525,33
2024-11-10 22:15:00,0.596515,0.596575,0.596505,0.596605,30
2024-11-10 22:15:30,0.596595,0.596635,0.596545,0.596675,48
2024-11-10 22:16:00,0.596645,0.596615,0.596615,0.596695,54
2024-11-10 22:16:30,0.596645,0.596605,0.596605,0.596655,35
2024-11-10 22:17:00,0.596585,0.596655,0.596585,0.596655,33
2024-11-10 22:17:30,0.596655,0.596625,0.596605,0.596655,30
2024-11-10 22:18:00,0.596615,0.596625,0.596615,0.596655,34
2024-11-10 22:18:30,0.596625,0.596715,0.596615,0.596725,48
2024-11-10 22:19:00,0.596745,0.596695,0.596665,0.596745,36
2024-11-10 22:19:30,0.596695,0.596755,0.596675,0.596765,45
2024-11-10 22:20:00,0.596765,0.596815,0.596705,0.596825,59
2024-11-10 22:20:30,0.596795,0.596815,0.596755,0.596815,35
2024-11-10 22:21:00,0.596795,0.596835,0.596785,0.596845,40
2024-11-10 22:21:30,0.596835,0.596745,0.596745,0.596885,38
2024-11-10 22:22:00,0.596735,0.596725,0.596715,0.596785,28
2024-11-10 22:22:30,0.596725,0.596625,0.596605,0.596755,39
2024-11-10 22:23:00,0.596605,0.596565,0.596565,0.596645,34
2024-11-10 22:23:30,0.596565,0.596545,0.596535,0.596585,27
2024-11-10 22:24:00,0.596525,0.596415,0.596405,0.596555,27
2024-11-10 22:24:30,0.596425,0.596475,0.596155,0.596495,52
2024-11-10 22:25:00,0.596495,0.596495,0.596465,0.596495,31
2024-11-10 22:25:30,0.596485,0.596225,0.596065,0.596505,47
2024-11-10 22:26:00,0.596225,0.596435,0.596205,0.596455,41
2024-11-10 22:26:30,0.596435,0.596475,0.596425,0.596485,20
2024-11-10 22:27:00,0.596465,0.596435,0.596415,0.596465,27
2024-11-10 22:27:30,0.596445,0.596425,0.596415,0.596445,27
2024-11-10 22:28:00,0.596425,0.596395,0.596385,0.596425,31
2024-11-10 22:28:30,0.596405,0.596415,0.596395,0.596435,22
2024-11-10 22:29:00,0.596405,0.596355,0.596325,0.596455,28
2024-11-10 22:29:30,0.596355,0.596335,0.596315,0.596365,32
2024-11-10 22:30:00,0.596135,0.596365,0.596135,0.596395,50
2024-11-10 22:30:30,0.596395,0.596125,0.596105,0.596425,50
2024-11-10 22:31:00,0.596115,0.596145,0.596095,0.596295,48
2024-11-10 22:31:30,0.596135,0.596135,0.596075,0.596205,53
2024-11-10 22:32:00,0.596135,0.596245,0.596125,0.596265,40
2024-11-10 22:32:30,0.596265,0.596235,0.596145,0.596285,45
2024-11-10 22:33:00,0.596215,0.596315,0.596175,0.596325,41
2024-11-10 22:33:30,0.596335,0.596355,0.596325,0.596435,46
2024-11-10 22:34:00,0.596375,0.596375,0.596365,0.596405,40
2024-11-10 22:34:30,0.596385,0.596395,0.596345,0.596395,40
2024-11-10 22:35:00,0.596395,0.596325,0.596325,0.596405,28
2024-11-10 22:35:30,0.596325,0.596305,0.596305,0.596395,29
2024-11-10 22:36:00,0.596305,0.596385,0.596285,0.596405,34
2024-11-10 22:36:30,0.596375,0.596355,0.596335,0.596395,39
2024-11-10 22:37:00,0.596375,0.596305,0.596275,0.596385,29
2024-11-10 22:37:30,0.596305,0.596295,0.596285,0.596325,35
2024-11-10 22:38:00,0.596295,0.596335,0.596265,0.596335,30
2024-11-10 22:38:30,0.596335,0.596565,0.596285,0.596565,42
2024-11-10 22:39:00,0.596565,0.596445,0.596395,0.596595,41
2024-11-10 22:39:30,0.596465,0.596505,0.596455,0.596575,41
2024-11-10 22:40:00,0.596495,0.596535,0.596495,0.596585,29
2024-11-10 22:40:30,0.596555,0.596575,0.596545,0.596615,44
2024-11-10 22:41:00,0.596585,0.596605,0.596565,0.596605,32
2024-11-10 22:41:30,0.596585,0.596605,0.596565,0.596615,33
2024-11-10 22:42:00,0.596615,0.596585,0.596565,0.596625,36
2024-11-10 22:42:30,0.596595,0.596605,0.596575,0.596615,25
2024-11-10 22:43:00,0.596605,0.596605,0.596555,0.596625,38
2024-11-10 22:43:30,0.596605,0.596625,0.596555,0.596625,37
2024-11-10 22:44:00,0.596625,0.596575,0.596575,0.596625,46
2024-11-10 22:44:30,0.596585,0.596625,0.596585,0.596655,39
2024-11-10 22:45:00,0.596605,0.596585,0.596585,0.596625,25
2024-11-10 22:45:30,0.596595,0.596695,0.596585,0.596705,45
2024-11-10 22:46:00,0.596695,0.596685,0.596665,0.596725,41
2024-11-10 22:46:30,0.596685,0.596665,0.596665,0.596725,47
2024-11-10 22:47:00,0.596675,0.596695,0.596675,0.596725,39
2024-11-10 22:47:30,0.596695,0.596745,0.596695,0.596775,25
2024-11-10 22:48:00,0.596745,0.596745,0.596725,0.596775,31
2024-11-10 22:48:30,0.596745,0.596725,0.596685,0.596765,35
2024-11-10 22:49:00,0.596715,0.596665,0.596645,0.596735,41
2024-11-10 22:49:30,0.596665,0.596595,0.596595,0.596675,28
2024-11-10 22:50:00,0.596575,0.596595,0.596575,0.596635,29
2024-11-10 22:50:30,0.596585,0.596525,0.596495,0.596585,41
2024-11-10 22:51:00,0.596535,0.596495,0.596495,0.596545,35
2024-11-10 22:51:30,0.596495,0.596505,0.596475,0.596525,34
2024-11-10 22:52:00,0.596495,0.596485,0.596465,0.596515,33
2024-11-10 22:52:30,0.596485,0.596495,0.596455,0.596505,26
2024-11-10 22:53:00,0.596485,0.596455,0.596435,0.596505,37
2024-11-10 22:53:30,0.596465,0.596515,0.596425,0.596515,43
2024-11-10 22:54:00,0.596525,0.596465,0.596455,0.596535,30
2024-11-10 22:54:30,0.596455,0.596365,0.596355,0.596485,52
2024-11-10 22:55:00,0.596385,0.596385,0.596345,0.596405,53
2024-11-10 22:55:30,0.596355,0.596325,0.596325,0.596425,48
2024-11-10 22:56:00,0.596325,0.596305,0.596295,0.596395,41
2024-11-10 22:56:30,0.596315,0.596275,0.596175,0.596365,42
2024-11-10 22:57:00,0.596275,0.596315,0.596275,0.596355,31
2024-11-10 22:57:30,0.596325,0.596165,0.596125,0.596375,41
2024-11-10 22:58:00,0.596165,0.596135,0.596115,0.596225,46
2024-11-10 22:58:30,0.596135,0.596135,0.596095,0.596205,40
2024-11-10 22:59:00,0.596125,0.596145,0.596095,0.596235,58
2024-11-10 22:59:30,0.596175,0.596185,0.596135,0.596225,51
2024-11-10 23:00:00,0.596215,0.596275,0.596215,0.596335,82
2024-11-10 23:00:30,0.596285,0.596305,0.596245,0.59632,84
2024-11-10 23:01:00,0.596305,0.59647,0.596255,0.5965,80
2024-11-10 23:01:30,0.59649,0.59641,0.596365,0.59649,55
2024-11-10 23:02:00,0.596405,0.5964,0.596375,0.59651,65
2024-11-10 23:02:30,0.5964,0.596405,0.59638,0.596435,33
2024-11-10 23:03:00,0.5964,0.59641,0.59638,0.59643,40
2024-11-10 23:03:30,0.5964,0.596335,0.596295,0.59641,61
2024-11-10 23:04:00,0.596345,0.5963,0.59628,0.596355,55
2024-11-10 23:04:30,0.59632,0.596285,0.59628,0.59632,38
2024-11-10 23:05:00,0.596285,0.5962,0.59619,0.5963,46
2024-11-10 23:05:30,0.59622,0.596205,0.59618,0.59623,54
2024-11-10 23:06:00,0.59621,0.596015,0.59599,0.596215,74
2024-11-10 23:06:30,0.596015,0.59604,0.595985,0.5961,55
2024-11-10 23:07:00,0.59605,0.596175,0.59604,0.596185,59
2024-11-10 23:07:30,0.596165,0.596145,0.596125,0.59618,48
2024-11-10 23:08:00,0.596145,0.59636,0.596145,0.596365,70
2024-11-10 23:08:30,0.596355,0.596415,0.59633,0.596435,69
2024-11-10 23:09:00,0.596395,0.596315,0.59631,0.5964,49
2024-11-10 23:09:30,0.596315,0.596435,0.596315,0.59644,42
2024-11-10 23:10:00,0.596445,0.59636,0.59635,0.596445,62
2024-11-10 23:10:30,0.59636,0.596375,0.59633,0.596435,52
2024-11-10 23:11:00,0.596355,0.596325,0.59629,0.596355,48
2024-11-10 23:11:30,0.596345,0.59643,0.596325,0.59645,87
2024-11-10 23:12:00,0.59643,0.59646,0.596425,0.59649,58
2024-11-10 23:12:30,0.596455,0.596485,0.59642,0.59657,71
2024-11-10 23:13:00,0.596485,0.596435,0.596395,0.596485,51
2024-11-10 23:13:30,0.596435,0.59642,0.59639,0.596445,45
2024-11-10 23:14:00,0.59641,0.59642,0.59636,0.59645,45
2024-11-10 23:14:30,0.59642,0.596405,0.596345,0.59645,65
2024-11-10 23:15:00,0.596425,0.596385,0.59638,0.59647,66
2024-11-10 23:15:30,0.596415,0.59633,0.5963,0.596415,66
2024-11-10 23:16:00,0.59633,0.596345,0.596285,0.596375,82
2024-11-10 23:16:30,0.596345,0.59635,0.596325,0.596425,58
2024-11-10 23:17:00,0.59635,0.596385,0.59634,0.596395,41
2024-11-10 23:17:30,0.596365,0.59645,0.596365,0.59645,49
2024-11-10 23:18:00,0.59645,0.59639,0.59637,0.59646,67
2024-11-10 23:18:30,0.59639,0.596375,0.596335,0.59645,75
2024-11-10 23:19:00,0.596375,0.596415,0.596375,0.596455,50
2024-11-10 23:19:30,0.596415,0.59647,0.59641,0.596475,50
2024-11-10 23:20:00,0.596475,0.596515,0.596445,0.596525,60
2024-11-10 23:20:30,0.596505,0.5965,0.596475,0.59652,52
2024-11-10 23:21:00,0.59648,0.5965,0.59648,0.59653,67
2024-11-10 23:21:30,0.596495,0.59655,0.596485,0.59658,60
2024-11-10 23:22:00,0.59654,0.596555,0.59652,0.596575,35
2024-11-10 23:22:30,0.596575,0.596465,0.596445,0.596575,61
2024-11-10 23:23:00,0.596445,0.59647,0.596445,0.59651,51
2024-11-10 23:23:30,0.5965,0.59656,0.596465,0.59656,55
2024-11-10 23:24:00,0.59656,0.596575,0.59649,0.59661,81
2024-11-10 23:24:30,0.596565,0.59658,0.59654,0.59658,59
2024-11-10 23:25:00,0.5966,0.596545,0.596515,0.5966,44
2024-11-10 23:25:30,0.596535,0.59653,0.59652,0.59655,31
2024-11-10 23:26:00,0.59653,0.596605,0.59653,0.59662,46
2024-11-10 23:26:30,0.596585,0.59667,0.596585,0.59668,50
2024-11-10 23:27:00,0.59665,0.59667,0.59664,0.59668,32
2024-11-10 23:27:30,0.59667,0.59674,0.59664,0.59674,45
2024-11-10 23:28:00,0.59672,0.5968,0.596715,0.5968,49
2024-11-10 23:28:30,0.59682,0.5968,0.59672,0.59684,70
2024-11-10 23:29:00,0.59678,0.59681,0.59678,0.59682,54
2024-11-10 23:29:30,0.59681,0.596715,0.596695,0.596815,43
2024-11-10 23:30:00,0.5967,0.59664,0.59657,0.5967,67
2024-11-10 23:30:30,0.59664,0.596755,0.59664,0.596755,56
2024-11-10 23:31:00,0.596735,0.59665,0.596635,0.596755,48
2024-11-10 23:31:30,0.59666,0.596725,0.59665,0.59673,58
2024-11-10 23:32:00,0.59673,0.59667,0.59666,0.59673,33
2024-11-10 23:32:30,0.59668,0.59664,0.596605,0.596705,55
2024-11-10 23:33:00,0.59665,0.59665,0.59661,0.596705,60
