id,from,at,to,open,close,min,max,volume
4810756,2024-11-10 23:05:00,1731279930000000000,1731279930,20.159665,20.161795,20.157595,20.162255,142
4810757,2024-11-10 23:05:30,1731279960000000000,1731279960,20.161395,20.155245,20.154805,20.162145,107
4810758,2024-11-10 23:06:00,1731279990000000000,1731279990,20.156695,20.154055,20.152655,20.157255,102
4810759,2024-11-10 23:06:30,1731280020000000000,1731280020,20.154005,20.155505,20.152145,20.157615,126
4810760,2024-11-10 23:07:00,1731280050000000000,1731280050,20.156155,20.153705,20.151455,20.158505,119
4810761,2024-11-10 23:07:30,1731280080000000000,1731280080,20.154255,20.153705,20.151805,20.155605,74
4810762,2024-11-10 23:08:00,1731280110000000000,1731280110,20.153705,20.154305,20.150625,20.155745,116
4810763,2024-11-10 23:08:30,1731280140000000000,1731280140,20.154305,20.154505,20.151655,20.155615,98
4810764,2024-11-10 23:09:00,1731280170000000000,1731280170,20.153955,20.151295,20.149595,20.155315,88
4810765,2024-11-10 23:09:30,1731280200000000000,1731280200,20.152095,20.147345,20.144845,20.152295,89
4810766,2024-11-10 23:10:00,1731280230000000000,1731280230,20.147145,20.142495,20.142055,20.149395,147
4810767,2024-11-10 23:10:30,1731280260000000000,1731280260,20.143245,20.143005,20.140645,20.143655,87
4810768,2024-11-10 23:11:00,1731280290000000000,1731280290,20.142995,20.139405,20.137265,20.143395,119
4810769,2024-11-10 23:11:30,1731280320000000000,1731280320,20.138655,20.137935,20.136735,20.140105,123
4810770,2024-11-10 23:12:00,1731280350000000000,1731280350,20.138185,20.137845,20.136605,20.139505,89
4810771,2024-11-10 23:12:30,1731280380000000000,1731280380,20.137595,20.139095,20.137095,20.140205,110
4810772,2024-11-10 23:13:00,1731280410000000000,1731280410,20.139095,20.139645,20.137845,20.141455,135
4810773,2024-11-10 23:13:30,1731280440000000000,1731280440,20.139195,20.140495,20.138845,20.141095,127
4810774,2024-11-10 23:14:00,1731280470000000000,1731280470,20.140945,20.140905,20.139545,20.141195,110
4810775,2024-11-10 23:14:30,1731280500000000000,1731280500,20.140895,20.140105,20.138645,20.141105,108
4810776,2024-11-10 23:15:00,1731280530000000000,1731280530,20.139605,20.140395,20.139545,20.141645,133
4810777,2024-11-10 23:15:30,1731280560000000000,1731280560,20.139595,20.141045,20.139355,20.141585,120
